method,eval_id,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mae_std,total_fit_time
grid,103,8,0.08,4.0,1.0,0.8,1.2297552877482785,0.04236730532934,0.40033475624692727,0.043864820857920386,0.8922717040913122,0.03258002099537094,6.649120092391968
grid,104,8,0.08,4.0,1.0,1.0,1.2268968896328047,0.04448285468643689,0.40332932229001706,0.041780650451015665,0.8888359239730692,0.031114471017417166,6.678548574447632
grid,105,8,0.08,4.0,1.0,1.2,1.2229250715991176,0.044390672450383604,0.4073582642173908,0.039140467201246414,0.8847450446711745,0.030548941374618634,6.671350955963135
grid,106,8,0.08,4.0,1.2,0.8,1.2320731610632325,0.0432883334920876,0.39801838376072374,0.045222310956890756,0.8939910536362154,0.03306409945184922,6.6880035400390625
grid,107,8,0.08,4.0,1.2,1.0,1.229663139432003,0.0437286848593464,0.4002574057505345,0.04681608169375833,0.8932415592117738,0.034919372838271436,6.6769609451293945
grid,108,8,0.08,4.0,1.2,1.2,1.2275335722262288,0.04141934778125486,0.4027537078789094,0.03972173425710645,0.8901487650392236,0.029975510754615263,6.648690938949585
grid,109,8,0.1,2.0,0.8,0.8,1.2293907868559888,0.040401572558186466,0.40084392143854475,0.04078381014045082,0.8921305324454052,0.030582377658709557,6.708728313446045
grid,110,8,0.1,2.0,0.8,1.0,1.222013665591649,0.04432068238007929,0.40827313220483746,0.03862673458352211,0.8843891359876096,0.029990526328861247,6.698139429092407
grid,111,8,0.1,2.0,0.8,1.2,1.2203553834503627,0.04587185865988327,0.40994878069106055,0.03840963448022128,0.8812855992207507,0.0320328874315747,6.677081108093262
grid,112,8,0.1,2.0,1.0,0.8,1.2287615172173723,0.03987138858898373,0.4014756302322787,0.04019579334395441,0.8910112130664223,0.029136089377964695,6.660736322402954
grid,113,8,0.1,2.0,1.0,1.0,1.225980834081911,0.0424154489462498,0.40419112643599175,0.041226986527463184,0.8885914077241189,0.030654819131530144,7.162619590759277
grid,114,8,0.1,2.0,1.0,1.2,1.225389812114293,0.04304494804009361,0.40491241870291256,0.03932390066452594,0.8872198992776097,0.029867144698164847,6.941379547119141
grid,115,8,0.1,2.0,1.2,0.8,1.2267674183268371,0.04263970817607975,0.40338932405276884,0.041760434445791784,0.8881691178924995,0.031000603916730398,7.261883735656738
grid,116,8,0.1,2.0,1.2,1.0,1.228099971265207,0.041870769598069735,0.40194098378914356,0.04358762943888257,0.8901101107400156,0.031346039440158895,7.071484327316284
grid,117,8,0.1,2.0,1.2,1.2,1.2232335896638826,0.042403613215586576,0.40708839863574175,0.03756478637372282,0.8840303602727444,0.02991605888679646,7.09684944152832
grid,118,8,0.1,3.0,0.8,0.8,1.2249951203645435,0.0405106676251005,0.4051043816747068,0.04078691273176113,0.8878675543042134,0.03064093928718982,7.057793378829956
grid,119,8,0.1,3.0,0.8,1.0,1.2288008674601638,0.03925293862266097,0.40135624829376726,0.041163877737206436,0.8917854919132978,0.030319602096871807,7.066363334655762
grid,120,8,0.1,3.0,0.8,1.2,1.2228565902595563,0.04257223219030666,0.4074750335983578,0.037368604995737985,0.8843338086706135,0.02884041485550212,7.109174489974976
grid,121,8,0.1,3.0,1.0,0.8,1.2262982027747342,0.04063317390794423,0.4039284518624302,0.03970992832764148,0.8888807789409163,0.028968183093737377,7.150548458099365
grid,122,8,0.1,3.0,1.0,1.0,1.2188884094235424,0.04423665880908487,0.41137547011154263,0.03723707340707269,0.8801117820655244,0.02946887831716581,7.142986536026001
grid,123,8,0.1,3.0,1.0,1.2,1.221818788559232,0.04522001716288932,0.408551299100855,0.03764779944837289,0.8821504463206914,0.02993916419306985,7.062530279159546
grid,124,8,0.1,3.0,1.2,0.8,1.2256076189235223,0.04367411127857914,0.40467902462679656,0.039962079188421276,0.8878291098737069,0.029859686072409502,7.0370728969573975
grid,125,8,0.1,3.0,1.2,1.0,1.2269772697232153,0.04531583769560674,0.40313734817708025,0.043791975385821434,0.8895269406614498,0.03323929278498528,7.093707323074341
grid,126,8,0.1,3.0,1.2,1.2,1.2269705178145043,0.04054458429496001,0.4032471107139294,0.04009152847971779,0.8885097621380463,0.030271228362015675,6.851545095443726
grid,127,8,0.1,4.0,0.8,0.8,1.2264185883061842,0.04071949281695782,0.4039409448642761,0.037748721562625036,0.8882856859803526,0.027935705850167844,7.055327653884888
grid,128,8,0.1,4.0,0.8,1.0,1.2260696798157993,0.04259898129006822,0.40428173271485957,0.038781559240379994,0.8885051456309961,0.02971900160318696,6.754696607589722
grid,129,8,0.1,4.0,0.8,1.2,1.2230040907391964,0.04568482747469606,0.4073383718820738,0.039069315964135605,0.8844330538983813,0.03085145849136404,6.7811408042907715
grid,130,8,0.1,4.0,1.0,0.8,1.2279646379945282,0.04194199925647235,0.402124225764784,0.04301360780910269,0.891304244338422,0.031761779876110265,6.708110332489014
grid,131,8,0.1,4.0,1.0,1.0,1.223606726511035,0.04347122371346691,0.40660608959498423,0.03999661963391942,0.8856016270599222,0.03100312032692352,6.685669660568237
grid,132,8,0.1,4.0,1.0,1.2,1.2227141224547247,0.045109226856092886,0.4076283178042546,0.03856196961142779,0.8849402024654497,0.030173671140970384,6.66759467124939
grid,133,8,0.1,4.0,1.2,0.8,1.2298083174450118,0.04236893644347171,0.40017494848707724,0.04532477379978002,0.8932893262547201,0.0339862588570519,6.674229145050049
grid,134,8,0.1,4.0,1.2,1.0,1.2290062092716796,0.045315982484138255,0.40120758948659196,0.04327713270160726,0.8907839299479701,0.0324490895569528,6.705648422241211
grid,135,8,0.1,4.0,1.2,1.2,1.2253435283744345,0.039807052059442675,0.4050195943778686,0.0367567963221505,0.8872133539506235,0.0281813701746463,6.627323627471924
grid,136,8,0.12,2.0,0.8,0.8,1.2278259703012657,0.04089869308012619,0.40241568624419877,0.04022839995940487,0.8890721053738343,0.029609897414167436,6.663917541503906
grid,137,8,0.12,2.0,0.8,1.0,1.2268923796365017,0.04109515820812703,0.40337489093134504,0.03953314560698947,0.889074123606633,0.028732190030555896,6.6975932121276855
grid,138,8,0.12,2.0,0.8,1.2,1.2232436480724405,0.04390396824306079,0.40669614143976246,0.043819431435240655,0.8868554829358171,0.03221977239455419,6.68421483039856
grid,139,8,0.12,2.0,1.0,0.8,1.2248362552294076,0.03984352902053254,0.4053681491521742,0.03884764218622252,0.8876029047310243,0.02794724397629545,6.710004568099976
grid,140,8,0.12,2.0,1.0,1.0,1.2221691343428147,0.04007283537897843,0.40810571262320156,0.03648664108683078,0.884072428622571,0.027227512785168363,6.670112133026123
grid,141,8,0.12,2.0,1.0,1.2,1.2288242092231005,0.040411500178580625,0.4012655151747838,0.04275024507910931,0.8914294488147974,0.030387723540907106,6.675947666168213
grid,142,8,0.12,2.0,1.2,0.8,1.2226172344022928,0.04083016482874936,0.40758798315196926,0.03818452554596304,0.8847415917426483,0.028394859511710228,6.658715009689331
grid,143,8,0.12,2.0,1.2,1.0,1.2234741548185089,0.04202432410477096,0.40676695925691286,0.03868006002602846,0.8846681842812435,0.028345056594507912,6.713299036026001
grid,144,8,0.12,2.0,1.2,1.2,1.2287090287138622,0.04178986450902599,0.4013651507272554,0.04343035630918059,0.8916311324845827,0.03222951506580679,6.698200225830078
grid,145,8,0.12,3.0,0.8,0.8,1.2286796439977976,0.03865074047357144,0.40161774929903443,0.038684604367827266,0.8901477887780294,0.028257710796092905,6.659069061279297
grid,146,8,0.12,3.0,0.8,1.0,1.2207620275033526,0.04129026214418997,0.4094979527650402,0.0366281663072749,0.8815907882337539,0.027862219465576266,6.710645437240601
grid,147,8,0.12,3.0,0.8,1.2,1.2219833159887936,0.04388836174213412,0.40817977740608924,0.040190278866377084,0.8845905873599055,0.03014085336404104,7.01652717590332
grid,148,8,0.12,3.0,1.0,0.8,1.2243362107566054,0.04209286494784098,0.4060499503619185,0.03698138960187917,0.8861394027924518,0.028332663115379342,7.258822679519653
grid,149,8,0.12,3.0,1.0,1.0,1.2238835543601072,0.041190684193166544,0.4063387455534155,0.038822013360784696,0.8854926160492671,0.02933685220205903,6.842987060546875
grid,150,8,0.12,3.0,1.0,1.2,1.2284677310726324,0.04065795497132814,0.4018552350530113,0.03926389807711123,0.8897490182901435,0.028545102147722073,6.68119215965271
grid,151,8,0.12,3.0,1.2,0.8,1.2246804332140366,0.042523852975837946,0.4056485374959973,0.03827381403275197,0.8855966944659499,0.02838532620351179,6.739038467407227
grid,152,8,0.12,3.0,1.2,1.0,1.2290100363492398,0.04152909131541808,0.40106496272373493,0.04335909760518724,0.8906557710348565,0.03129453936394959,6.872654914855957
grid,153,8,0.12,3.0,1.2,1.2,1.2209554761070747,0.04213153447676154,0.40936972495284873,0.036199854316190085,0.881171000203261,0.027661859637027716,6.832107305526733
grid,154,8,0.12,4.0,0.8,0.8,1.2231024788463027,0.04178212666903257,0.40724195032060073,0.03680583926397902,0.8848970346014653,0.02699263640995831,6.763342618942261
grid,155,8,0.12,4.0,0.8,1.0,1.2235735889772348,0.03995806127117343,0.4066538140687269,0.037972858157470354,0.88586599819734,0.027517165891005134,6.7634453773498535
grid,156,8,0.12,4.0,0.8,1.2,1.2242021114457058,0.04129714250119033,0.40598437003821664,0.039508091032032795,0.8862977453764553,0.029315008307788954,6.717435121536255
grid,157,8,0.12,4.0,1.0,0.8,1.2236989592051775,0.03879556895886397,0.4065413935698782,0.03721637370583772,0.8858709838885297,0.027258334279847894,6.71430516242981
grid,158,8,0.12,4.0,1.0,1.0,1.2279500149868459,0.041338832629671564,0.4020537643175276,0.043962853919443365,0.891522335892667,0.032998851061536306,6.671392917633057
grid,159,8,0.12,4.0,1.0,1.2,1.229853446260847,0.03964388924323288,0.40022969874279485,0.043010528602126744,0.8933962167786269,0.032232453638634036,6.721058368682861
grid,160,8,0.12,4.0,1.2,0.8,1.2256215594525126,0.04285130141213428,0.40462819940404915,0.04004138086613925,0.8869447632582033,0.029958981958197527,6.759469509124756
grid,161,8,0.12,4.0,1.2,1.0,1.2270634961034201,0.040948503900019105,0.40310309419742624,0.040886516072681484,0.8896583393159074,0.02950787739258404,6.687113285064697
