method,eval_id,gen,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mae_std,total_fit_time
ga,95,4,8,0.07982202158232628,1.798102118628684,0.0,0.0,1.2238001265468437,0.04242312900686878,0.406406444460086,0.039643427263010574,0.8862066393242776,0.02974415069456772,6.582462310791016
ga,96,4,8,0.15454647721959652,2.320047619795716,0.0,0.544483123690318,1.215483993811396,0.04455560722427381,0.4148057584723076,0.03494280469996322,0.8758981641962917,0.029976385225210827,6.536915302276611
ga,97,4,8,0.15454647721959652,1.4688346867518005,0.045424146267720955,0.34855428859927035,1.217782085194612,0.0424484215261735,0.4125536272750101,0.034280227082003546,0.8786061570571922,0.02925050774061493,6.6455464363098145
ga,98,5,7,0.13610487113404368,2.8965246597927927,0.13492620432296099,0.9599752643405697,1.2202266736865526,0.04605253501400039,0.4103166070079773,0.03468643769183393,0.8808955843231819,0.03009662592237165,5.840630054473877
ga,99,5,7,0.15454647721959652,2.8965246597927927,0.045424146267720955,0.0,1.2188129831011218,0.042192807634837445,0.41151071938392125,0.035008374293206176,0.880088159806129,0.027950060076613353,5.832559585571289
ga,100,5,8,0.13610487113404368,2.7805559800742103,0.13492620432296099,1.07936220539995,1.2235372534283324,0.0439317241716113,0.4067346346505786,0.039316094993723585,0.8849103936073324,0.030457794631302746,6.612009286880493
ga,101,5,8,0.15454647721959652,2.8965246597927927,0.3225435580672036,0.34855428859927035,1.2189984791014623,0.04590832131110839,0.41133993946651887,0.03701573363845823,0.8797026946999029,0.029489214555033186,6.608982801437378
ga,102,5,6,0.14561603956879487,2.278200295083031,0.045424146267720955,0.9275566488201181,1.2296360797874146,0.0433631463698053,0.4006720506816409,0.04140186027462449,0.8906899563613976,0.02974369257183693,5.2645485401153564
ga,103,5,8,0.15454647721959652,2.320047619795716,0.0,0.0,1.2206697169310106,0.04344790208998462,0.4097010348294825,0.03606762497447084,0.881839485057425,0.029110056723104998,6.564630746841431
ga,104,5,7,0.14611423971819296,1.8950216809880962,0.045424146267720955,0.4640731972976913,1.2287138997495162,0.042779184410972386,0.4011720232074586,0.04634379982343605,0.8908756567868876,0.033554338755630506,5.846099853515625
ga,105,5,8,0.12327233670335769,1.8708208496978256,0.3225435580672036,0.34855428859927035,1.2189541953295842,0.04197884283587167,0.4114329929674844,0.03395154946897532,0.8807761776525881,0.02838405561186648,6.680750370025635
ga,106,5,8,0.15454647721959652,1.4179644849928956,0.166325438786108,0.34855428859927035,1.2153645344405195,0.045783350641830686,0.4149833925874864,0.03478333065200644,0.8760739642796123,0.030892439813144105,6.600862264633179
ga,107,5,8,0.13610487113404368,1.6177121975011037,0.3225435580672036,0.34855428859927035,1.2182315541624864,0.04301183468901656,0.4119718884786905,0.03709096870633977,0.8801622582096063,0.029579230396254326,6.606353759765625
ga,108,5,7,0.13610487113404368,2.7479058749707526,0.0,0.9599752643405697,1.2291683780689202,0.040408037396885976,0.40089993829444753,0.043157966495511964,0.8907699241841396,0.02983649378648195,5.762286424636841
ga,109,5,8,0.15454647721959652,2.7479058749707526,1.287730240161329,0.544483123690318,1.2204864700942897,0.04211171720127257,0.40979264660103115,0.03656364008303883,0.882430260477487,0.02691648094793899,6.66697359085083
ga,110,5,9,0.13610487113404368,2.320047619795716,0.3225435580672036,0.0,1.2248283606889032,0.04230133975387936,0.40561314921382924,0.03637680040980102,0.8843856970086703,0.026855144123626173,7.8272483348846436
ga,111,5,8,0.13610487113404368,2.7479058749707526,0.045424146267720955,0.34855428859927035,1.2207791212092372,0.042507917109503475,0.4095655546321006,0.035886955725435245,0.8829541356935795,0.027416171115962045,6.677462577819824
ga,112,5,8,0.15454647721959652,2.320047619795716,0.045424146267720955,0.34855428859927035,1.214640236748695,0.043757909203201474,0.415577883910181,0.035027717948393475,0.8755139798753806,0.03148498872497179,6.69446587562561
ga,113,5,8,0.13610487113404368,2.350192750915809,0.045424146267720955,0.2513222849399515,1.2185129719572219,0.044788289387604346,0.41187516173496574,0.0353191296902127,0.8783189808979088,0.029440180189991474,6.657806396484375
ga,114,5,8,0.13610487113404368,1.6177121975011037,0.3225435580672036,0.1800957215512835,1.2227398913537564,0.04088716478787082,0.4074294870893679,0.03890048065443151,0.8834605348176157,0.02959037352757575,6.679357051849365
